№,Фраза,"Показы (broad, снимок 30 дн)",Форм слито,Тип,Пиллар,Интент,Класс,Пол,Предмет,Гео,Сезон,Asset,Флаг,Сиды
215,медицинский колледж пермь,7081,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
216,медицинский колледж иркутск,7018,1,top,C,info,—,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
217,куда можно поступить с географией,6997,1,top,C,info,—,—,география,—,июнь-июль,main,,c16_s_geografiej
218,колледжи тюмени специальности,6980,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
219,куда поступить после 11 класса с обществознанием,6972,2,top,C,info,11,—,обществознание,—,июнь-июль,main,,c02_kuda_postupat_posle_11;c10_s_obschestvoznaniem
220,колледж воронеж сайт,6968,1,top,C,info,—,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
221,в колледж поступила ученица,6901,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
222,поступать ли в мед колледж,6825,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
223,самые высокооплачиваемые профессии в россии,6825,1,top,E,info,—,—,—,—,flat,main,,e03_vysokooplachivaemye
224,куда поступить после 11 с биологией,6819,1,top,C,info,11,—,биология,—,июнь-июль,main,,c12_s_biologiej
225,хочешь поступить в колледж,6807,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
226,официальные сайты колледжей воронежа,6682,1,top,C,info,—,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
227,какие специальности поступают в колледже,6657,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
228,куда можно поступить после 11 с обществознанием,6651,1,top,C,info,11,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
229,куда можно поступить с информатикой,6612,1,top,C,info,—,—,информатика,—,июнь-июль,main,,c13_s_informatikoj
230,специальности после 9 класса нижний новгород,6581,1,top,C,info,9,—,—,нижний новгород,июнь-июль,aggregator,,c06_specialnosti_posle_9
231,как поступить в вуз после колледжа,6507,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
232,финансовый колледж пермь,6474,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
233,востребованные профессии для девушек,6444,1,top,E,info,—,f,—,—,flat,main,,e02_vostrebovannye
234,барни профессии будущего,6425,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
235,колледж права тюмень,6423,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
236,поступить в колледж отсрочка,6298,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
237,колледж экономики тюмень,6270,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
238,госуслуги поступить в колледж,6240,1,top,C,commercial,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
239,можно ли поступить в медицинский колледж,6229,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
240,куда можно поступить с математикой и обществознанием,6207,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
241,куда можно поступить с физикой,6171,1,top,C,info,—,—,физика,—,июнь-июль,main,,c15_s_fizikoj
242,поступить в колледж профессии,6089,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
243,колледжи красноярска после 11 класса,6086,1,top,C,info,11,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
244,куда поступить с историей и обществознанием,6062,2,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem;c11_s_istoriej
245,востребованные профессии после 9,5990,1,top,C,info,9,—,—,—,июнь-июль,main,,e02_vostrebovannye
246,в какой колледж поступить после 11,5942,1,top,C,info,11,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
247,колледж предпринимательства красноярск,5933,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
248,с каким баллом можно поступить в колледж,5908,1,top,C,info,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
249,колледж экономики и права тюмень,5884,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
250,многопрофильный колледж тиу тюмень,5840,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
251,куда поступить с физикой и математикой,5839,1,top,C,info,—,—,физика,—,июнь-июль,main,,c15_s_fizikoj
252,куда можно поступить с русским математикой обществознанием,5829,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
253,тест на профессию бесплатно,5802,3,top,D,commercial,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d03_test_online;d05_test_na_professiyu
254,10 востребованных профессий,5787,2,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
255,на кого пойти учиться после 9,5785,1,top,C,info,9,—,—,—,июнь-июль,main,,b04_na_kogo_pojti_uchitsya
256,профориентация для школьников,5754,2,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya;p03_prof_dlya_shkolnikov
257,медицинский колледж воронеж,5745,1,top,C,info,—,—,—,воронеж,июнь-июль,aggregator,,g03_kolledzhi_voronezh
258,какие профессии будущего,5674,1,top,E,info,—,—,—,—,flat,main,,e04_professii_buduschego
259,востребованные профессии 9 класс,5652,3,top,C,info,9,—,—,—,июнь-июль,main,,c03_professii_posle_9;e02_vostrebovannye
260,платно поступить в колледж,5628,1,top,C,commercial,—,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
261,центр профессии будущего,5621,1,top,E,commercial,—,—,—,—,flat,main,,e04_professii_buduschego
262,обществознание куда можно поступить после 11 класса,5593,1,top,C,info,11,—,обществознание,—,июнь-июль,main,,c02_kuda_postupat_posle_11
263,педагогический колледж красноярск,5591,1,top,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
264,теста профориентацию бесплатно онлайн,5541,11,top,D,commercial,—,—,—,—,сент-окт,main,,d01_test_na_proforientaciyu;d02_test_besplatno;d03_test_online;p01_proforientaciya;p04_prof_online;p05_prof_9_klass
265,рейтинг поступающих в колледж,5501,1,top,C,info,—,—,—,—,июнь-июль,aggregator,,c05_postupit_v_kolledzh
266,финансов экономический колледж пермь,5482,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
267,куда можно поступить с биологией и русским,5466,1,top,C,info,—,—,биология,—,июнь-июль,main,,c12_s_biologiej
268,красноярский строительный техникум,5465,1,assoc,C,info,—,—,—,красноярск,июнь-июль,aggregator,,g01_kolledzhi_krasnoyarsk
269,колледж управления тюмень,5465,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
270,финансово экономический колледж пермь,5456,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
271,мед колледж тюмень,5452,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
272,куда поступить с егэ по обществознанию,5398,1,top,C,info,—,—,обществознание,—,июнь-июль,main,,c10_s_obschestvoznaniem
273,в имперский колледж поступила,5320,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
274,выборы профориентации,5305,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
275,можно ли поступить в другой колледж,5302,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
276,не знаю кем стать,5294,2,top,B,info,—,—,—,—,март-апр,main,,b07_ne_znayu_kem_stat
277,моя будущая профессия,5274,4,assoc,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya;p04_prof_online;p06_projti_proforientaciyu;p07_centr_proforientacii
278,выбор профориентации,5265,1,top,0,info,—,—,—,—,сент-окт,main,,p01_proforientaciya
279,нужно ли поступать в колледж,5255,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
280,куда поступить после 11 с историей,5243,1,top,C,info,11,—,история,—,июнь-июль,main,,c11_s_istoriej
281,в имперский колледж поступает ученица,5241,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
282,колледж управления и права тюмень,5220,1,top,C,info,—,—,—,тюмен,июнь-июль,aggregator,,g04_kolledzhi_tyumen
283,куда поступить с русским и историей,5217,1,top,C,info,—,—,история,—,июнь-июль,main,,c11_s_istoriej
284,колледж бгу иркутск,5195,1,top,C,info,—,—,—,иркутск,июнь-июль,aggregator,,g05_kolledzhi_irkutsk
285,поступить в колледж после 9 бюджет,5193,1,top,C,info,9,—,—,—,июнь-июль,both,,c05_postupit_v_kolledzh
286,поступить без егэ в вуз после колледжа,5165,1,top,C,info,—,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
287,специальности для девушек после 9 класса,5128,1,top,C,info,9,f,—,—,июнь-июль,main,,c06_specialnosti_posle_9
288,в какой колледж поступить после 11 класса,5119,1,top,C,info,11,—,—,—,июнь-июль,main,,c05_postupit_v_kolledzh
289,востребованные профессии 10 лет,5099,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
290,педагогический колледж пермь,5090,1,top,C,info,—,—,—,перм,июнь-июль,aggregator,,g02_kolledzhi_perm
291,востребованные профессии сейчас,5059,1,top,E,info,—,—,—,—,flat,main,,e02_vostrebovannye
292,строительные специальности после 9 класса,5053,1,top,C,info,9,—,—,—,июнь-июль,main,,c06_specialnosti_posle_9
